"retailer_product";"retailer_price"
"Alcatel 1054D";21.3
"Alcatel OneTouch Pixi 4 (6) 3G (8GB)";99.2
"Archos 50 Titanium 4G (8GB)";59
"Sony Xperia X (32GB)";276.52
"Wiko Sunny 2 (8GB)";59.99
"Nokia 8 Dual (4GB/64GB)";391.39
"Apple iPhone 6s Plus (16GB)";501
"MaxCom MS553 FS (16GB)";139.99
"Hisense C30 (32GB)";249.99
"LG Q6 Dual";188.8
"TP-LINK Neffos X1 (32GB)";137.8
"Mediacom PhonePad Duo X532U 4G Ultra (16GB)";229
"Lenovo Moto C Plus Dual (1GB/16GB)";86.8
"Huawei P9 Lite Dual (3GB/16GB)";180
"Asus ZenFone 4 Selfie Pro (ZD552KL)";325
"Asus ZenFone 2 (Z3580/4GB/32GB/Dual) (ZE551ML)";299
"Xiaomi Mi 5s (64GB)";265.86
"CAT B25 Dual";49.45
"MaxCom MM823";64.99
"Energy Sistem Phone Max 4000 (8GB)";109.9
"Go Clever Quantum 5 500 Rugged (16GB)";198
"HTC Desire 628 Dual (16GB)";172.36
"TP-LINK Neffos C5A (8GB)";61.44
"Doogee X20L (16GB)";98.8
"Huawei GR3 (16GB)";172.63
"Blu Grand Max (8GB)";95.04
"Xiaomi Mi 5s Plus (128GB)";373.66
"Cubot R9 (16GB)";74.94
"LG G5 (32GB)";388
"Energy Sistem Phone Max 4G (16GB)";119.9
"Samsung Galaxy J5 (2017)";156.91
"ZTE Blade V8 (64GB)";302.56
"Samsung Galaxy J7 Prime Dual (32GB)";216.48
"Cubot Echo (16GB)";75
"HTC U Play (64GB)";360
"Ulefone Armor 2 (64GB)";286
"Huawei Mate 9 Porsche Design";999
"Coolpad Cool Changer S1 (64GB)";374
"Asus ZenFone 4 Max (32GB) (ZC554KL)";298.9
"Ulefone U007 Pro (8GB)";88.49
"Lenovo Moto G4 Play Dual (16GB)";104.4
"Nokia 8 (4GB/64GB)";391.35
"MLS Fab 4G (8GB)";79
"Huawei Nova 2";264
"Sony Xperia XA1 Ultra Dual (64GB)";340
"BlackView Omega Pro (16GB)";249.95
"Asus ZenFone 4 Selfie (ZD553KL)";320
"MaxCom Smart MS514 FS (8GB)";89.99
"OnePlus 5T (6GB/64GB)";553.49
"Doogee X7 Pro (16GB)";125
"Samsung Galaxy S9+ (64GB)";978.6
"Gigaset GS270 (16GB)";172.36
"LeEco Le Max 2 (32GB)";322.86
"Leagoo M8 Pro (16GB)";137
"Lenovo Moto Z Dual (32GB)";280.95
"Xiaomi Redmi 4x (32GB)";115
"Huawei P10 Lite Dual (3GB/32GB)";200
"Xiaomi Redmi Note 5A Prime (64GB)";179.95
"Archos 55 Helium (16GB)";122.55
"Alcatel OneTouch 1052G";18.7
"BlackView BV7000 (16GB)";179
"Wiko U Pulse (32GB)";190.96
"Asus Zenfone 3 Laser (32GB) (ZC551KL)";279
"Sony Xperia XA2";345
"LG Magna (8GB)";120
"Xiaomi Mi Note 3 (128GB)";524.95
"MaxCom MS453 (8GB)";59.99
"Apple iPhone 8 Plus (256GB)";987.2
"Samsung Galaxy J3 (2017) Duos";128.98
"Sony Xperia Z5 Premium Dual (32GB)";490
"Apple iPhone 6 (64GB)";718
"ZTE Blade A512 Single (16GB)";149
"Leagoo M5 (16GB)";72
"Lenovo Moto G5 Dual (3GB/16GB)";159.95
"Coolpad Note 5 Lite (16GB)";205
"Ken Xin Da R7S (16GB)";156
"Apple iPhone 7 (32GB)";513
"Meizu Pro 6s (64GB)";325
"Ulefone S8 Pro (16GB)";86.84
"Huawei Mate 10 Lite (64GB)";266.55
"Razer Phone";879
"Google Pixel XL (32GB)";544.85
"Alcatel 10.50D";15.85
"Energizer Energy 100";44
"eStar Q20";67.55
"Denver WAS-18110M";32.99
"HTC U Play Dual (32GB)";198.11
"Apple iPhone 6s Plus (128GB)";686
