"product";"product_variation";"availability";"shop_id";"price";"shop";"href";"redirect_link"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 (64GB) Black EU EU (έως 36 δόσεις)";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"4835";"488.87";"D-klik";"/products/show/34342583";"http://www.overshop.gr/index.php?route=product/product&path=70_103_110&product_id=1496"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F (64GB) Midnight Black EU";"Παράδοση 1 έως 3 ημέρες";"1913";"488.96";"Playmobiles";"/products/show/29219471";"http://www.d-klik.gr/index.php?route=product/product&product_id=39807"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F (64GB) Coral Blue EU";"Παράδοση 1 έως 3 ημέρες";"1913";"488.96";"Playmobiles";"/products/show/29219470";"http://www.d-klik.gr/index.php?route=product/product&product_id=39810"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F (64GB) Arctic Silver EU";"Παράδοση 1 έως 3 ημέρες";"1913";"488.96";"Playmobiles";"/products/show/29219478";"http://www.d-klik.gr/index.php?route=product/product&product_id=39809"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F (64GB) Orchid Gray EU";"Παράδοση 1 έως 3 ημέρες";"1913";"488.96";"Playmobiles";"/products/show/29219472";"http://www.d-klik.gr/index.php?route=product/product&product_id=39808"
"Samsung Galaxy S8 (64GB)";"SAMSUNG GALAXY S8 G950F (64GB) ORCHID GRAY";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"3702";"488.99";"OverShop";"/products/show/30681617";"http://www.playmobiles.gr/index.php?route=product/product&path=59_61&product_id=2348"
"Samsung Galaxy S8 (64GB)";"SAMSUNG GALAXY S8 G950F (64GB) MIDNIGHT BLACK";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"3702";"488.99";"OverShop";"/products/show/29057248";"http://www.playmobiles.gr/index.php?route=product/product&path=59_61&product_id=2318"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 64GB - G950F Grey EU";"Παράδοση 4 έως 10 ημέρες";"3964";"489.00";"Mdstore";"/products/show/28797752";"http://www.mdstore.gr/kinita-tilefona/709051,samsung-galaxy-s8-64gb-g950f-grey-eu-detail"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 64GB - G950F Black EU";"Παράδοση 4 έως 10 ημέρες";"3964";"489.00";"Mdstore";"/products/show/28709750";"http://www.mdstore.gr/kinita-tilefona/709050,samsung-galaxy-s8-64gb-g950f-black-eu-detail"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F (64GB) Midnight Black EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"3405";"491.00";"E-Karavasilis";"/products/show/32300337";"http://www.e-karavasilis.gr/index.php?option=com_eshop&app=catalog&task=item&id=3701"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F (64GB) Coral Blue EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"3405";"491.00";"E-Karavasilis";"/products/show/32300336";"http://www.e-karavasilis.gr/index.php?option=com_eshop&app=catalog&task=item&id=3700"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F (64GB) Orchid Gray EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"3405";"491.00";"E-Karavasilis";"/products/show/32300977";"http://www.e-karavasilis.gr/index.php?option=com_eshop&app=catalog&task=item&id=3703"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F (64GB) Arctic Silver EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"3405";"491.00";"E-Karavasilis";"/products/show/32300338";"http://www.e-karavasilis.gr/index.php?option=com_eshop&app=catalog&task=item&id=3702"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F (64GB) Arctic Silver EU – ΠΛΗΡΩΜΗ ΚΑΙ ΣΕ 3 ΕΩΣ 12 ΔΟΣΕΙΣ!!!";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"3013";"491.05";"Drele";"/products/show/28560069";"https://www.drele.com/shop/mobile-phones/samsung-galaxy-s8-g950f-64gb-arctic-silver-eu/"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 G950F (64GB) Midnight Black EU – ΠΛΗΡΩΜΗ ΚΑΙ ΣΕ 3 ΕΩΣ 12 ΔΟΣΕΙΣ!!!";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"3013";"491.05";"Drele";"/products/show/28555765";"https://www.drele.com/shop/mobile-phones/samsung-galaxy-s8-g950f-64gb-midnight-black-eu/"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 (64GB) Orchid Gray EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"4189";"491.06";"CitisMarket";"/products/show/32657164";"https://www.citismarket.com/tilefona/kinita-tilefona/android-smartphones/samsung-galaxy-s8-64gb-orchid-gray-eu.html"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 (64GB) Coral Blue EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"4189";"491.06";"CitisMarket";"/products/show/32657168";"https://www.citismarket.com/tilefona/kinita-tilefona/android-smartphones/samsung-galaxy-s8-64gb-coral-blue-eu.html"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 (64GB) Arctic Silver EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"4189";"491.06";"CitisMarket";"/products/show/32657167";"https://www.citismarket.com/tilefona/kinita-tilefona/android-smartphones/samsung-galaxy-s8-64gb-arctic-silver-eu.html"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 (64GB) Midnight Black EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"2281";"491.16";"CitisShop";"/products/show/28515980";"http://www.citisshop.com/index.php?route=product/product&product_id=39807"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 (64GB) Coral Blue EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"2281";"491.16";"CitisShop";"/products/show/28515979";"http://www.citisshop.com/index.php?route=product/product&product_id=39810"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 (64GB) Arctic Silver EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"2281";"491.16";"CitisShop";"/products/show/28515977";"http://www.citisshop.com/index.php?route=product/product&product_id=39809"
"Samsung Galaxy S8 (64GB)";"Samsung Galaxy S8 (64GB) Orchid Gray EU";"Άμεση παραλαβή / Παράδοση 1 έως 3 ημέρες";"2281";"491.16";"CitisShop";"/products/show/28515976";"http://www.citisshop.com/index.php?route=product/product&product_id=39808"
